fund_name,expense_ratio,fund_manager_name,fund_manager_teneur,fund_manager_experience,fund_manager_prev_funds,fund_manager_prev_total_funds,fund_type,category,risk,nav,fund_size,overall_return,rank,AUM
Mahindra Manulife Mid Cap Fund Direct Growth,0.43,"[""Abhinav Khandelwal"", ""Manish Lodha""]","[""Feb 2022 - Present"", ""Dec 2020 - Present""]","[[""Mr. Khandelwal is Chartered Accountant"", ""Prior to joining Mahindra Mutual Fund he has worked with Canara Robeco Mutual Fund, Aegon life Insurance Company as Fund Manager, Asian Market Securities as Equity Analyst and Systematix Shares & Stocks as Equity Analyst.""], [""Mr. Lodha is a Chartered Accountant and Company Secretary"", ""Prior to joining Mahindra Manulife Mutual Fund, he was associated with Canara HSBC OBC Life Insurance Co Ltd, Kotak Mahindra Mutual Fund. In these roles, he was responsible for Portfolio Management, Equity Research. He has also held various positions in Finance function during his association with BOC India Ltd (Now Linde India Ltd.).""]]","[[""Mahindra Manulife Mid Cap Fund Direct Growth"", ""Mahindra Manulife Consumption Fund Direct Growth"", ""Mahindra Manulife Large Cap Fund Direct Growth"", ""Mahindra Manulife Large & Mid Cap Fund Direct Growth"", ""Mahindra Manulife Arbitrage Fund Direct Growth"", ""Mahindra Manulife Small Cap Fund Direct Growth""], [""Mahindra Manulife ELSS Tax Saver Fund Direct Growth"", ""Mahindra Manulife Equity Savings Fund Direct Growth"", ""Mahindra Manulife Multi Cap Fund Direct Growth"", ""Mahindra Manulife Mid Cap Fund Direct Growth"", ""Mahindra Manulife Aggressive Hybrid Fund Direct Growth"", ""Mahindra Manulife Large & Mid Cap Fund Direct Growth"", ""Mahindra Manulife Arbitrage Fund Direct Growth"", ""Mahindra Manulife Flexi Cap Fund Direct Growth"", ""Mahindra Manulife Balanced Advantage Fund Direct Growth"", ""Mahindra Manulife Small Cap Fund Direct Growth"", ""Mahindra Manulife Manufacturing Fund Direct Growth""]]","[6, 11]",Equity,Mid Cap,Very High Risk,37.52,3165.98,22.4,28.0,4742.0
Edelweiss Small Cap Fund Direct Growth,0.4,"[""Raj Koradia""]","[""Aug 2024 - Present""]","[[""Mr. Koradia has done B.Com and CA"", ""Prior to joining Edelweiss Mutual Fund, he has worked with First Voyager Advisors, Optimum Infosystem Private Limited, Morgan Stanley and Edelweiss Securities""]]","[[""Edelweiss ELSS Tax Saver Fund Direct Growth"", ""Edelweiss Large & Mid Cap Direct Plan Growth"", ""Edelweiss Mid Cap Direct Plan Growth"", ""Edelweiss Flexi Cap Fund Direct Growth"", ""Edelweiss Small Cap Fund Direct Growth"", ""Edelweiss Focused Fund Direct Growth"", ""Edelweiss Multi Cap Fund Direct Growth"", ""Edelweiss Technology Fund Direct Growth""]]",[8],Equity,Small Cap,Very High Risk,47.64,3986.11,32.6,15.0,137526.56
SBI Balanced Advantage Fund Direct Growth,0.68,"[""Rajeev Radhakrishnan"", ""Dinesh Balachandran"", ""Mansi Sajeja"", ""Pradeep Kesavan""]","[""Nov 2023 - Present"", ""Aug 2021 - Present"", ""Dec 2023 - Present"", ""Dec 2023 - Present""]","[[""Mr. Radhakrishnan is B.E (Production), MMS (Finance) and CFA."", ""Prior to joining SBI AMC he has worked with UTI Asset Management Company Ltd.""], [""Mr.Dinesh is a B.Tech from IIT-B, M.S. from MIT USA and CFA."", ""Prior to joining SBI Funds Management Pvt. Ltd. he has worked with Fidelity Investments, USA.""], [""Ms. Sajeja is a CFA and has done Post Graduate Diploma in Business Management."", ""Prior to joining SBIFMPL, she was Rating Analyst at ICRA Limited.""], [""Mr. Kesavan has done B.Com, MBA (Finance) and CFA"", ""Prior to joining SBI MF, he has worked with Elara Capital, Accenture Strategy, Morgan Stanley and 3i Infotech""]]","[[""SBI Arbitrage Opportunities Fund Direct Growth"", ""SBI Equity Hybrid Fund Direct Plan Growth"", ""SBI Dynamic Bond Direct Plan Growth"", ""SBI Magnum Gilt Fund Direct Growth"", ""SBI Magnum Children's Benefit Fund Savings Plan Direct"", ""SBI Liquid Fund Direct Plan Growth"", ""SBI Magnum Low Duration Fund Direct Plan Growth"", ""SBI Short Term Debt Fund Direct Growth"", ""SBI Savings Fund Direct Growth"", ""SBI Magnum Ultra Short Duration Fund Direct Growth"", ""SBI Fixed Interval Debt Series 90 Days 1 Direct Growth"", ""SBI Banking and PSU Fund Direct Growth"", ""SBI Dual Advantage Fund Series XI Direct Growth"", ""SBI Debt Fund Series B 26 (1100 Days) Direct Growth"", ""SBI Debt Fund Series B 27 (1100 Days) Direct Growth"", ""SBI Dual Advantage Fund Series XII Direct Growth"", ""SBI Debt Fund Series B 28 (1100 Days) Direct Growth"", ""SBI Debt Fund Series B 29 (1200 Days) Direct Growth"", ""SBI Dual Advantage Fund Series XIV Direct Growth"", ""SBI Debt Fund Series B 33 (1131 Days) Direct Growth"", ""SBI Debt Fund Series B 34 (1131 Days) Direct Growth"", ""SBI Debt Fund Series B 42 (1100 Days) Direct Growth"", ""SBI Dual Advantage Fund Series XVII Direct Growth"", ""SBI Dual Advantage Fund Series XVIII Direct Growth"", ""SBI Dual Advantage Fund Series XIX Direct Growth"", ""SBI Dual Advantage Fund Series XXII Direct Growth"", ""SBI Dual Advantage Fund Series XXIII Direct Growth"", ""SBI Dual Advantage Fund Series XXIV Direct Growth"", ""SBI Dual Advantage Fund Series XXV Direct Growth"", ""SBI Dual Advantage Fund Series XXVI Direct Growth"", ""SBI Dual Advantage Fund Series XXVII Direct Growth"", ""SBI Dual Advantage Fund Series XXVIII Direct Growth"", ""SBI Dual Advantage Fund Series XXIX Direct Growth"", ""SBI Dual Advantage Fund Series XXX Direct Growth"", ""SBI Corporate Bond Fund Direct Growth"", ""SBI Capital Protection Oriented Fund Series A (Plan 1) Direct Growth"", ""SBI Capital Protection Oriented Fund Series A (Plan 2) Direct Growth"", ""SBI Capital Protection Oriented Fund Series A (Plan 3) Direct Growth"", ""SBI Capital Protection Oriented Fund Series A (Plan 4) Direct Growth"", ""SBI Capital Protection Oriented Fund Series A (Plan 5) Direct Growth"", ""SBI Capital Protection Oriented Fund Series A (Plan 6) Direct Growth"", ""SBI Capital Protection Oriented Fund Series A (Plan 7) Direct Growth"", ""SBI Capital Protection Oriented Fund Series A (Plan 8) Direct Growth"", ""SBI Magnum Children's Benefit Fund Investment Plan Direct Growth"", ""SBI Floating Rate Debt Fund Direct Growth"", ""SBI Balanced Advantage Fund Direct Growth"", ""SBI Long Duration Fund Direct Growth""], [""SBI Magnum COMMA Fund Direct Growth"", ""SBI Long Term Equity Fund Direct Plan Growth"", ""SBI Contra Direct Plan Growth"", ""SBI Multi Asset Allocation Fund Direct Growth"", ""SBI Dynamic Asset Allocation Fund Direct Growth"", ""SBI Balanced Advantage Fund Direct Growth""], [""SBI Equity Hybrid Fund Direct Plan Growth"", ""SBI Credit Risk Fund Direct Growth"", ""SBI Short Term Debt Fund Direct Growth"", ""SBI Conservative Hybrid Fund Direct Growth"", ""SBI Multi Asset Allocation Fund Direct Growth"", ""SBI Equity Savings Fund Direct Growth"", ""SBI Balanced Advantage Fund Direct Growth""], [""SBI Bluechip Direct Plan Growth"", ""SBI Equity Hybrid Fund Direct Plan Growth"", ""SBI Dynamic Bond Direct Plan Growth"", ""SBI Infrastructure Fund Direct Growth"", ""SBI Magnum COMMA Fund Direct Growth"", ""SBI ESG Exclusionary Strategy Fund Direct Plan Growth"", ""SBI Magnum Global Direct Plan Growth"", ""SBI Magnum Income Direct Plan Growth"", ""SBI Magnum Mid Cap Direct Plan Growth"", ""SBI Flexicap Fund Direct Growth"", ""SBI Magnum Children's Benefit Fund Savings Plan Direct"", ""SBI Large & Midcap Fund Direct Plan Growth"", ""SBI Focused Equity Fund Direct Plan Growth"", ""SBI Healthcare Opportunities Fund Direct Plan Growth"", ""SBI Gold Direct Plan Growth"", ""SBI Credit Risk Fund Direct Growth"", ""SBI Magnum Low Duration Fund Direct Plan Growth"", ""SBI Short Term Debt Fund Direct Growth"", ""SBI Savings Fund Direct Growth"", ""SBI Magnum Medium Duration Fund Direct Growth"", ""SBI Nifty Index Direct Plan Growth"", ""SBI Magnum Ultra Short Duration Fund Direct Growth"", ""SBI Contra Direct Plan Growth"", ""SBI Conservative Hybrid Fund Direct Growth"", ""SBI Multi Asset Allocation Fund Direct Growth"", ""SBI Consumption Opportunities Fund Direct Growth"", ""SBI Technology Opportunities Fund Direct Growth"", ""SBI Small Cap Fund Direct Growth"", ""SBI Banking and PSU Fund Direct Growth"", ""SBI Banking & Financial Services Fund Direct Growth"", ""SBI Equity Savings Fund Direct Growth"", ""SBI Corporate Bond Fund Direct Growth"", ""SBI Equity Minimum Variance Fund Direct Growth"", ""SBI Magnum Children's Benefit Fund Investment Plan Direct Growth"", ""SBI Floating Rate Debt Fund Direct Growth"", ""SBI Retirement Benefit Fund Aggressive Plan Direct Growth"", ""SBI Retirement Benefit Fund Aggressive Hybrid Plan Direct Growth"", ""SBI Retirement Benefit Fund Conservative Plan Direct Growth"", ""SBI Retirement Benefit Fund Conservative Hybrid Plan Direct Growth"", ""SBI International Access US Equity FoF Direct Growth"", ""SBI Balanced Advantage Fund Direct Growth"", ""SBI Multicap Fund Direct Growth"", ""SBI Automotive Opportunities Fund Direct Growth"", ""SBI Innovative Opportunities Fund Direct Growth""]]","[47, 6, 7, 44]",Hybrid,Dynamic Asset Allocation,Moderately High Risk,15.15,32144.9,50.5,1.0,1037900.38
Aditya Birla Sun Life Financial Planning FoF Aggressive Plan Direct Growth,0.4,"[""Vinod Bhat"", ""Dhaval Joshi""]","[""Aug 2019 - Present"", ""Nov 2022 - Present""]","[[""Vinod is a CFA (USA) and has done his MBA in Finance from Wharton University of Pennsylvania (USA). He is an M.S. in Industrial Engineering from Pennsylvania State University (USA) and holds a B.Tech degree in Mechanical Engineering from IIT Bombay."", ""Prior to joining ABSL AMC, he was the Vice President - Corporate Strategy and Business Development with Aditya Birla Management Corporation Pvt. Ltd. He had also worked with Ocean Park Advisors (USA) as a Senior Associate- Investment Banking. He was also part of Credit Suisse (USA) as an Associate - Investment Banking.""], [""Mr. Joshi has done B.Com, M.Com. and MBA (Finance)"", ""Prior to joining Aditya Birla Sun Life Mutual Fund, he was associated with Sundaram Mutual Fund, Emkay Global Financial Services and Asit C Mehta Investment Intermediates Ltd..""]]","[[""Aditya Birla Sun Life Dividend Yield Fund Direct Growth"", ""Aditya Birla Sun Life International Equity Fund Direct Growth"", ""Aditya Birla Sun Life International Equity Fund Plan B Direct Growth"", ""Aditya Birla Sun Life Commodity Equities Fund Global Agri Plan Direct Growth"", ""Aditya Birla Sun Life Flexi Cap Fund Direct Growth"", ""Aditya Birla Sun Life Asset Allocator FoF Direct Growth"", ""Aditya Birla Sun Life Global Excellence Equity FoF Direct Growth"", ""Aditya Birla Sun Life Global Emerging Opportunities Fund Direct Growth"", ""Aditya Birla Sun Life Financial Planning FoF Conservative Plan Direct Growth"", ""Aditya Birla Sun Life Financial Planning FoF Moderate Plan Direct Growth"", ""Aditya Birla Sun Life Financial Planning FoF Aggressive Plan Direct Growth"", ""Aditya Birla Sun Life Special Opportunities Fund Direct Growth"", ""Aditya Birla Sun Life ESG Integration Strategy Fund Direct Growth"", ""Aditya Birla Sun Life Multi Cap Fund Direct Growth"", ""Aditya Birla Sun Life NASDAQ 100 FOF Direct Growth"", ""Aditya Birla Sun Life Business Cycle Fund Direct Growth"", ""Aditya Birla Sun Life Multi Index FoF Direct Growth""], [""Aditya Birla Sun Life Equity Advantage Fund Direct Growth"", ""Aditya Birla Sun Life Short Term Direct Fund Direct Growth"", ""Aditya Birla Sun Life Savings Direct Growth"", ""Aditya Birla Sun Life Dynamic Bond Retail Fund Direct Growth"", ""Aditya Birla Sun Life Dividend Yield Fund Direct Growth"", ""Aditya Birla Sun Life Money Manager Fund Direct Growth"", ""Aditya Birla Sun Life Infrastructure Direct Fund Growth"", ""Aditya Birla Sun Life International Equity Fund Direct Growth"", ""Aditya Birla Sun Life International Equity Fund Plan B Direct Growth"", ""Aditya Birla Sun Life Low Duration Fund Direct Growth"", ""Aditya Birla Sun Life Frontline Equity Direct Fund Growth"", ""Aditya Birla Sun Life Corporate Bond Fund Direct Growth"", ""Aditya Birla Sun Life Medium Term Plan Direct Growth"", ""Aditya Birla Sun Life ELSS Tax Saver Direct Growth"", ""Aditya Birla Sun Life Small Cap Fund Direct Growth"", ""Aditya Birla Sun Life Focused Fund Direct Growth"", ""Aditya Birla Sun Life Liquid Fund Direct Growth"", ""Aditya Birla Sun Life Commodity Equities Fund Global Agri Plan Direct Growth"", ""Aditya Birla Sun Life India GenNext Direct Fund Growth"", ""Aditya Birla Sun Life Government Securities Fund Direct Plan Growth"", ""Aditya Birla Sun Life Mid Cap Direct Fund Growth"", ""Aditya Birla Sun Life MNC Fund Direct Growth"", ""Aditya Birla Sun Life Income Fund Direct Growth"", ""Aditya Birla Sun Life Pure Value Direct Fund Growth"", ""Aditya Birla Sun Life Equity Hybrid '95 Fund Direct Growth"", ""Aditya Birla Sun Life Digital India Fund Direct Growth"", ""Aditya Birla Sun Life Flexi Cap Fund Direct Growth"", ""Aditya Birla Sun Life Regular Savings Fund Direct Growth"", ""Aditya Birla Sun Life Floating Rate Direct Fund Growth"", ""Aditya Birla Sun Life Banking & Financial Services Fund Direct Growth"", ""Aditya Birla Sun Life Asset Allocator FoF Direct Growth"", ""Aditya Birla Sun Life Global Excellence Equity FoF Direct Growth"", ""Aditya Birla Sun Life Global Emerging Opportunities Fund Direct Growth"", ""Aditya Birla Sun Life Financial Planning FoF Conservative Plan Direct Growth"", ""Aditya Birla Sun Life Financial Planning FoF Moderate Plan Direct Growth"", ""Aditya Birla Sun Life Financial Planning FoF Aggressive Plan Direct Growth"", ""Aditya Birla Sun Life Credit Risk Fund Direct Growth"", ""Aditya Birla Sun Life Bal Bhavishya Yojna Direct Growth"", ""Aditya Birla Sun Life Retirement Fund The 30s Plan Direct Growth"", ""Aditya Birla Sun Life Retirement Fund The 40s Plan Direct Growth"", ""Aditya Birla Sun Life Retirement Fund The 50s Plan Direct Growth"", ""Aditya Birla Sun Life Retirement Fund The 50s Plus Debt Plan Direct Growth"", ""Aditya Birla Sun Life Pharma & Healthcare Fund Direct Growth"", ""Aditya Birla Sun Life Credit Risk Fund Segregated Portfolio 1 Direct Growth"", ""Aditya Birla Sun Life Dynamic Bond Fund Segregated Portfolio 1 Direct Growth"", ""Aditya Birla Sun Life Medium Term Plan Segregated Portfolio 1 Direct Growth"", ""Aditya Birla Sun Life PSU Equity Fund Direct Growth"", ""Aditya Birla Sun Life Special Opportunities Fund Direct Growth"", ""Aditya Birla Sun Life ESG Integration Strategy Fund Direct Growth"", ""Aditya Birla Sun Life Multi Cap Fund Direct Growth"", ""Aditya Birla Sun Life NASDAQ 100 FOF Direct Growth"", ""Aditya Birla Sun Life Business Cycle Fund Direct Growth"", ""Aditya Birla Sun Life Long Duration Fund Direct Growth"", ""Aditya Birla Sun Life Multi Index FoF Direct Growth"", ""Aditya Birla Sun Life Multi Asset Allocation Fund Direct Growth"", ""Aditya Birla Sun Life Transportation and Logistics Fund Direct Growth"", ""Aditya Birla Sun Life Quant Fund Direct Growth""]]","[17, 57]",Other,FoF Overseas/Domestic,Very High Risk,56.09,222.29,14.6,4.0,359537.4
Mirae Asset Global Electric & Autonomous Vehicles ETFs FoF Direct Growth,0.25,"[""Siddharth Srivastava""]","[""Aug 2022 - Present""]","[[""Mr. Srivastava is a MBA (Tech), B.Tech"", ""Prior to joining Mirae Asset Investment Managers (India) Private Limited, he has been associated with Mirae Asset Global Investments (India) Private Limited, NSE Indices Limited and Morgan Stanley Capital International.""]]","[[""Mirae Asset Global Electric & Autonomous Vehicles ETFs FoF Direct Growth"", ""Mirae Asset Global X Artificial Intelligence & Technology ETF FoF Direct Growth""]]",[2],Other,FoF Overseas/Domestic,Very High Risk,8.83,67.09,-14.0,13.0,181758.25
DSP Small Cap Direct Plan Growth,0.81,"[""Vinit Sambre"", ""Resham Jain""]","[""Jan 2013 - Present"", ""Mar 2018 - Present""]","[[""Mr. Sambre is a B.Com and FCA."", ""Prior to joining DSP he was associated with DSP Merrill Lynch Ltd.(Nov 2005 to Jun 2007), IL & FS Investsmart Ltd. (Dec 2002 to Oct 2005), Unit Trust of India Investment Advisory Services Ltd.(Jun 2000 to Dec 2002), Kisan Ratilal Choksey Shares and Securities Pvt. Ltd. (March 1999 to May 2000) and Credit Rating Information Service of India Ltd.(Apr 1998 to Feb 1999).""], [""Mr. Jain is a B.Com, MS, FRM, CFP & CFA (US)."", ""Prior to joining DSP Mutual Fund, he has worked with B&K Securities (I) Private Limited, Jaihind Projects Ltd, Arvind Ltd, Anagram Knowledge Academy Ltd.""]]","[[""DSP Regular Savings Fund Direct Growth"", ""DSP Midcap Direct Plan Growth"", ""DSP Focus Direct Plan Growth"", ""DSP Small Cap Direct Plan Growth"", ""DSP Top 100 Equity Direct Plan Growth"", ""DSP 3 Years Close Ended Equity Fund Direct Growth"", ""DSP Equity Savings Fund Direct Growth"", ""DSP Healthcare Fund Direct Growth""], [""DSP Regular Savings Fund Direct Growth"", ""DSP Midcap Direct Plan Growth"", ""DSP Focus Direct Plan Growth"", ""DSP Small Cap Direct Plan Growth"", ""DSP Top 100 Equity Direct Plan Growth"", ""DSP Equity Savings Fund Direct Growth""]]","[8, 6]",Equity,Small Cap,Very High Risk,212.88,16084.62,23.9,10.0,167044.23
SBI Focused Equity Fund Direct Plan Growth,0.73,"[""Rama Iyer Srinivasan"", ""Pradeep Kesavan""]","[""Jan 2013 - Present"", ""Dec 2023 - Present""]","[[""Mr. Srinivasan is M.Com and MFM."", ""Prior to joining SBI Mutual Fund he has worked with Principal AMC, Oppenheimer & Co, Indosuez WI Carr and Motilal Oswal.""], [""Mr. Kesavan has done B.Com, MBA (Finance) and CFA"", ""Prior to joining SBI MF, he has worked with Elara Capital, Accenture Strategy, Morgan Stanley and 3i Infotech""]]","[[""SBI Equity Hybrid Fund Direct Plan Growth"", ""SBI Magnum Global Direct Plan Growth"", ""SBI Flexicap Fund Direct Growth"", ""SBI Magnum Children's Benefit Fund Savings Plan Direct"", ""SBI Focused Equity Fund Direct Plan Growth"", ""SBI Small Cap Fund Direct Growth"", ""SBI Tax Advantage Fund Series III Direct Growth"", ""SBI Long Term Advantage Fund Series IV Direct Growth"", ""SBI Long Term Advantage Fund Series V Direct Growth"", ""SBI Magnum Children's Benefit Fund Investment Plan Direct Growth"", ""SBI Multicap Fund Direct Growth""], [""SBI Bluechip Direct Plan Growth"", ""SBI Equity Hybrid Fund Direct Plan Growth"", ""SBI Dynamic Bond Direct Plan Growth"", ""SBI Infrastructure Fund Direct Growth"", ""SBI Magnum COMMA Fund Direct Growth"", ""SBI ESG Exclusionary Strategy Fund Direct Plan Growth"", ""SBI Magnum Global Direct Plan Growth"", ""SBI Magnum Income Direct Plan Growth"", ""SBI Magnum Mid Cap Direct Plan Growth"", ""SBI Flexicap Fund Direct Growth"", ""SBI Magnum Children's Benefit Fund Savings Plan Direct"", ""SBI Large & Midcap Fund Direct Plan Growth"", ""SBI Focused Equity Fund Direct Plan Growth"", ""SBI Healthcare Opportunities Fund Direct Plan Growth"", ""SBI Gold Direct Plan Growth"", ""SBI Credit Risk Fund Direct Growth"", ""SBI Magnum Low Duration Fund Direct Plan Growth"", ""SBI Short Term Debt Fund Direct Growth"", ""SBI Savings Fund Direct Growth"", ""SBI Magnum Medium Duration Fund Direct Growth"", ""SBI Nifty Index Direct Plan Growth"", ""SBI Magnum Ultra Short Duration Fund Direct Growth"", ""SBI Contra Direct Plan Growth"", ""SBI Conservative Hybrid Fund Direct Growth"", ""SBI Multi Asset Allocation Fund Direct Growth"", ""SBI Consumption Opportunities Fund Direct Growth"", ""SBI Technology Opportunities Fund Direct Growth"", ""SBI Small Cap Fund Direct Growth"", ""SBI Banking and PSU Fund Direct Growth"", ""SBI Banking & Financial Services Fund Direct Growth"", ""SBI Equity Savings Fund Direct Growth"", ""SBI Corporate Bond Fund Direct Growth"", ""SBI Equity Minimum Variance Fund Direct Growth"", ""SBI Magnum Children's Benefit Fund Investment Plan Direct Growth"", ""SBI Floating Rate Debt Fund Direct Growth"", ""SBI Retirement Benefit Fund Aggressive Plan Direct Growth"", ""SBI Retirement Benefit Fund Aggressive Hybrid Plan Direct Growth"", ""SBI Retirement Benefit Fund Conservative Plan Direct Growth"", ""SBI Retirement Benefit Fund Conservative Hybrid Plan Direct Growth"", ""SBI International Access US Equity FoF Direct Growth"", ""SBI Balanced Advantage Fund Direct Growth"", ""SBI Multicap Fund Direct Growth"", ""SBI Automotive Opportunities Fund Direct Growth"", ""SBI Innovative Opportunities Fund Direct Growth""]]","[11, 44]",Equity,Focused,Very High Risk,363.67,35727.79,16.4,1.0,1037900.38
Nippon India Nifty IT Index Fund Direct Growth,0.25,[],[],[],[],[],Other,Index,Very High Risk,10.81,138.8,3.2,4.0,513159.79
Parag Parikh Conservative Hybrid Fund Direct Growth,0.33,"[""Rajeev Thakkar"", ""Raunak Onkar"", ""Raj Mehta"", ""Rukun Tarachandani"", ""Mansi Kariya""]","[""May 2021 - Present"", ""May 2021 - Present"", ""May 2021 - Present"", ""May 2022 - Present"", ""Dec 2023 - Present""]","[[""Mr.Thakkar is a Chartered Accountant, Cost Accountant, CFA, and CFP."", ""He has been associated with PPFAS AMC since 2013.""], [""Mr.Onkar is an MMS (Finance) from the University of Mumbai."", ""He joined PPFAS as a research analyst. He was appointed as Head- research in the year 2011. He is working with the company as an Associate Fund Manager.""], [""Mr. Mehta is a Commerce Graduate from University of Mumbai (N.M. College) ; Fellow Member of Institute of Chartered Accountants of India (ICAI) ; CFA Charter Holder."", ""Beginning his career as an intern with PPFAS Mutual Fund in 2012, he swiftly moved up the ranks, and is currently part of the Fund Management team.""], [""Mr. Tarachandani has done B Tech (Information Technology), PGPM (Finance), CFA and CQF."", ""Prior to joining PPFAS Mutual Fund, he has worked with Kotak Mutual Fund, Goldman Sachs, Unnati Investment Management & Research Group.""], [""Ms. Karia has done B.Com, MS Finance and CFA"", ""Prior to joining PPFAS AMC, she has worked with Insync and Zacks Investment Research""]]","[[""Parag Parikh Flexi Cap Fund Direct Growth"", ""Parag Parikh ELSS Tax Saver Fund Direct Growth"", ""Parag Parikh Conservative Hybrid Fund Direct Growth"", ""Parag Parikh Arbitrage Fund Direct Growth""], [""Parag Parikh Flexi Cap Fund Direct Growth"", ""Parag Parikh ELSS Tax Saver Fund Direct Growth"", ""Parag Parikh Conservative Hybrid Fund Direct Growth"", ""Parag Parikh Arbitrage Fund Direct Growth""], [""Parag Parikh Flexi Cap Fund Direct Growth"", ""Parag Parikh Liquid Fund Direct Growth"", ""Parag Parikh ELSS Tax Saver Fund Direct Growth"", ""Parag Parikh Conservative Hybrid Fund Direct Growth"", ""Parag Parikh Arbitrage Fund Direct Growth""], [""Kotak Equity Arbitrage Fund Direct Growth"", ""Parag Parikh Flexi Cap Fund Direct Growth"", ""Parag Parikh ELSS Tax Saver Fund Direct Growth"", ""Parag Parikh Conservative Hybrid Fund Direct Growth"", ""Parag Parikh Arbitrage Fund Direct Growth""], [""Parag Parikh Flexi Cap Fund Direct Growth"", ""Parag Parikh Liquid Fund Direct Growth"", ""Parag Parikh ELSS Tax Saver Fund Direct Growth"", ""Parag Parikh Conservative Hybrid Fund Direct Growth""]]","[4, 4, 5, 5, 4]",Hybrid,Conservative Hybrid,Moderately High Risk,14.24,2113.4,11.6,23.0,81162.76
Tata Nifty500 Multicap Infrastructure 50:30:20 Index Fund Direct Growth,0.34,[],[],[],[],[],Other,Index,Very High Risk,11.0,82.58,10.2,14.0,160868.4
